B
Temp. 	0	1	2	3	4	5	6	7	8	9
0	0,00	-0,24	-0,47	-0,69	-0,89	-1,09	-1,27	-1,44	-1,59	-1,74
10	-1,88	-2,00	-2,11	-2,21	-2,30	-2,37	-2,44	-2,49	-2,53	-2,56
20	-2,58	-2,58	-2,58	-2,56	-2,53	-2,49	-2,44	-2,38	-2,30	-2,21
30	-2,12	-2,01	-1,88	-1,75	-1,61	-1,45	-1,28	-1,10	-0,91	-0,71
40	-0,49	-0,27	-0,03	0,22	0,48	0,75	1,03	1,33	1,63	1,95
50	2,28	2,62	2,97	3,33	3,71	4,09	4,49	4,90	5,32	5,75
60	6,20	6,65	7,12	7,59	8,08	8,58	9,09	9,62	10,15	10,70
70	11,25	11,82	12,40	12,99	13,60	14,21	14,83	15,47	16,12	16,78
80	17,45	18,13	18,82	19,52	20,24	20,96	21,70	22,45	23,21	23,98
90	24,76	25,56	26,36	27,18	28,01	28,84	29,69	30,55	31,43	32,31
100	33,20	34,11	35,03	35,95	36,89	37,84	38,80	39,78	40,76	41,76
110	42,76	43,78	44,81	45,85	46,90	47,96	49,03	50,11	51,21	52,31
120	53,43	54,56	55,70	56,85	58,01	59,18	60,36	61,56	62,76	63,98
130	65,21	66,45	67,69	68,96	70,23	71,51	72,80	74,11	75,42	76,75
140	78,09	79,43	80,79	82,16	83,54	84,94	86,34	87,75	89,18	90,61
150	92,06	93,52	94,99	96,47	97,96	99,46	100,97	102,50	104,03	105,58
160	107,13	108,70	110,28	111,86	113,46	115,07	116,70	118,33	119,97	121,63
170	123,29	124,97	126,65	128,35	130,06	131,78	133,51	135,25	137,00	138,76
180	140,53	142,32	144,11	145,92	147,73	149,56	151,40	153,25	155,11	156,98
190	158,86	160,75	162,65	164,57	166,49	168,42	170,37	172,33	174,29	176,27
200	178,26	180,26	182,27	184,29	186,32	188,36	190,41	192,48	194,55	196,64
210	198,73	200,84	202,96	205,08	207,22	209,37	211,53	213,70	215,88	218,07
220	220,28	222,49	224,71	226,95	229,19	231,45	233,71	235,99	238,28	240,57
230	242,88	245,20	247,53	249,87	252,22	254,59	256,96	259,34	261,73	264,14
240	266,55	268,98	271,41	273,86	276,32	278,78	281,26	283,75	286,25	288,76
250	291,28	293,81	296,35	298,90	301,47	304,04	306,62	309,22	311,82	314,43
260	317,06	319,70	322,34	325,00	327,67	330,34	333,03	335,73	338,44	341,16
270	343,89	346,63	349,38	352,14	354,92	357,70	360,49	363,30	366,11	368,93
280	371,77	374,61	377,47	380,34	383,21	386,10	389,00	391,90	394,82	397,75
290	400,69	403,64	406,60	409,57	412,55	415,54	418,54	421,55	424,57	427,61
300	430,65	433,70	436,76	439,84	442,92	446,02	449,12	452,24	455,36	458,50
310	461,64	464,80	467,96	471,14	474,33	477,53	480,73	483,95	487,18	490,42
320	493,67	496,93	500,20	503,48	506,77	510,07	513,38	516,70	520,03	523,37
330	526,72	530,08	533,45	536,84	540,23	543,63	547,04	550,47	553,90	557,34
340	560,80	564,26	567,74	571,22	574,71	578,22	581,73	585,26	588,79	592,34
350	595,89	599,46	603,04	606,62	610,22	613,82	617,44	621,07	624,70	628,35
360	632,01	635,67	639,35	643,04	646,74	650,44	654,16	657,89	661,63	665,37
370	669,13	672,90	676,68	680,46	684,26	688,07	691,89	695,72	699,56	703,40
380	707,26	711,13	715,01	718,90	722,80	726,71	730,62	734,55	738,49	742,44
390	746,40	750,37	754,35	758,33	762,33	766,34	770,36	774,39	778,43	782,47
400	786,53	790,60	794,68	798,77	802,87	806,97	811,09	815,22	819,36	823,50
410	827,66	831,83	836,01	840,19	844,39	848,60	852,82	857,04	861,28	865,53
420	869,78	874,05	878,32	882,61	886,91	891,21	895,53	899,85	904,19	908,53
430	912,89	917,25	921,63	926,01	930,41	934,81	939,22	943,65	948,08	952,52
440	956,98	961,44	965,91	970,39	974,88	979,39	983,90	988,42	992,95	997,49
450	1002,04	1006,60	1011,17	1015,75	1020,34	1024,94	1029,55	1034,16	1038,79	1043,43
460	1048,08	1052,73	1057,40	1062,08	1066,76	1071,46	1076,16	1080,88	1085,60	1090,34
