	0	1	2	3	4	5	6	7	8	9
0	0,000	0,013	0,026	0,040	0,053	0,067	0,080	0,094	0,107	0,121
10	0,135	0,148	0,162	0,176	0,189	0,203	0,217	0,231	0,244	0,258
20	0,272	0,286	0,300	0,314	0,328	0,342	0,356	0,370	0,384	0,398
30	0,412	0,426	0,440	0,454	0,469	0,483	0,497	0,511	0,525	0,540
40	0,554	0,568	0,583	0,597	0,612	0,626	0,640	0,655	0,669	0,684
50	0,698	0,713	0,727	0,742	0,757	0,771	0,786	0,801	0,815	0,830
60	0,845	0,860	0,874	0,889	0,904	0,919	0,934	0,948	0,963	0,978
70	0,993	1,008	1,023	1,038	1,053	1,068	1,083	1,098	1,114	1,129
80	1,144	1,159	1,174	1,189	1,205	1,220	1,235	1,250	1,266	1,281
90	1,296	1,312	1,327	1,342	1,358	1,373	1,389	1,404	1,420	1,435
100	1,451	1,466	1,482	1,497	1,513	1,529	1,544	1,560	1,576	1,591
110	1,607	1,623	1,639	1,654	1,670	1,686	1,702	1,718	1,733	1,749
120	1,765	1,781	1,797	1,813	1,829	1,845	1,861	1,877	1,893	1,909
130	1,925	1,941	1,957	1,973	1,989	2,006	2,022	2,038	2,054	2,070
140	2,087	2,103	2,119	2,135	2,152	2,168	2,184	2,201	2,217	2,233
150	2,250	2,266	2,283	2,299	2,316	2,332	2,349	2,365	2,382	2,398
160	2,415	2,431	2,448	2,464	2,481	2,498	2,514	2,531	2,548	2,564
170	2,581	2,598	2,614	2,631	2,648	2,665	2,682	2,698	2,715	2,732
180	2,749	2,766	2,783	2,800	2,816	2,833	2,850	2,867	2,884	2,901
190	2,918	2,935	2,952	2,969	2,986	3,003	3,020	3,038	3,055	3,072
200	3,089	3,106	3,123	3,140	3,158	3,175	3,192	3,209	3,227	3,244
210	3,261	3,278	3,296	3,313	3,330	3,348	3,365	3,382	3,400	3,417
220	3,434	3,452	3,469	3,487	3,504	3,522	3,539	3,557	3,574	3,592
230	3,609	3,627	3,644	3,662	3,679	3,697	3,714	3,732	3,750	3,767
240	3,785	3,803	3,820	3,838	3,856	3,873	3,891	3,909	3,927	3,944
250	3,962	3,980	3,998	4,015	4,033	4,051	4,069	4,087	4,104	4,122
260	4,140	4,158	4,176	4,194	4,212	4,230	4,248	4,266	4,284	4,301
270	4,319	4,337	4,355	4,373	4,391	4,410	4,428	4,446	4,464	4,482
280	4,500	4,518	4,536	4,554	4,572	4,590	4,608	4,627	4,645	4,663
290	4,681	4,699	4,717	4,736	4,754	4,772	4,790	4,809	4,827	4,845
300	4,863	4,882	4,900	4,918	4,937	4,955	4,973	4,992	5,010	5,028
310	5,047	5,065	5,083	5,102	5,120	5,139	5,157	5,175	5,194	5,212
320	5,231	5,249	5,268	5,286	5,305	5,323	5,342	5,360	5,379	5,397
330	5,416	5,434	5,453	5,471	5,490	5,508	5,527	5,546	5,564	5,583
